time,open,high,low,close,Basis,Upper,Lower,温度计,Plot,Shapes,Shapes,Plot,Plot,Plot,Plot,Plot,Plot,ADX,Plot,Plot,Plot,Plot,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label,Histogram,MACD,Signal line,Trend Strength Index,RSI,Regular Bullish,Regular Bullish Label,Hidden Bullish,Hidden Bullish Label,Regular Bearish,Regular Bearish Label,Hidden Bearish,Hidden Bearish Label,Distance from MA,Upper StdDev Band,Lower StdDev Band,Zero Line
2020-09-16,245,319,231.11,253.93,,,,,,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0
2020-09-17,230.76,241.5,215.2396,227.54,,,,,,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0
2020-09-18,235,249,218.59,240,,,,,,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0
2020-09-21,230,241.4999,218.6,228.85,,,,,,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0
2020-09-22,238.5,239,225.1501,235.16,,,,,,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0
2020-09-23,243.5,254.8,213,217.39,,,,,,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0
2020-09-24,213.51,230.95,208.55,226.74,,,,,,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0
2020-09-25,228.12,236.26,227.9001,229,,,,,,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0
2020-09-28,235.93,253,235.93,250.41,,,,,,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0
2020-09-29,255,259.7,246.03,259.13,,,,,,0,0,,,,,,,,9.422967295146002,,,0,,,,,,,,,,,,,,,,,,,,,,,0
2020-09-30,261.5,278.26,243.05,251,,,,,,0,0,,,,,,,,6.121206483963437,,,0,,,,,,,,,,,,,,,,,,,,,,,0
2020-10-01,255.25,255.91,238,243.46,,,,,,0,0,,,,,,,,2.2451430827250984,,,0,,,,,,,,,,,,,,,,,,,,,,,0
2020-10-02,232.44,243.12,227,227.1,,,,,,0,0,,,,,,,,-4.106002769989525,,,0,,,,,,,,,,,,,,,,,,,,,,,0
2020-10-05,231.97,243.4297,231.2006,240,,,,,,0,0,,,,,,,,0.8661883928233749,,,0,,,,,,,,,,0.16359356937301428,,,,,,,,,,,,,0
2020-10-06,244.18,247.99,239.0001,245.1,,,,,,0,0,,,,,,,,2.58105828830677,,,0,47.33795598432318,,,,,,,,,0.4352380406188056,47.33795598432318,,,,,,,,,,,,0
2020-10-07,245.5,252.36,245.29,246,,,,,,0,0,,,,,,,,1.7394972579964696,,,0,47.643925944712144,,,,,,,,,0.41598578484306836,47.643925944712144,,,,,47.643925944712144,,47.643925944712144,,,,,0
2020-10-08,250,250,239.99,240.19,,,,,,0,0,,,,,,,,-1.2128864558955899,,,0,45.79418987488071,,,,,,,,,0.45050152926704007,45.79418987488071,,,,,,,,,,,,0
2020-10-09,242,243.695,235.4701,238,,,,,,0,0,,,,,,,,-2.4746044689578306,,,0,45.08367334719646,,,,,,,,,0.33994972788476624,45.08367334719646,45.08367334719646,,45.08367334719646,,,,,,,,,0
2020-10-12,250.32,251.5,243,243.97,,,,,,0,0,,,,,,,,0.23624150044168069,,,0,47.47608439218343,,,,,,,,,0.34118482246832293,47.47608439218343,,,,,,,,,,,,0
2020-10-13,247,250.5,245.27,249.61,239.629,260.84313293066793,218.41486706933205,,,0,0,,,,,,,,2.9561587672154,4.165188687512789,,0,49.7052701273334,,,,,,,,,0.20302517204122258,49.7052701273334,,,,,49.7052701273334,,49.7052701273334,,,,,0
2020-10-14,251.99,252,239,243.18,239.0915,259.35234921714795,218.83065078285205,,,0,0,,,,,,,,0.628566462937763,1.7100147851345726,,0,47.24349849211665,,,,,,,,,-0.007023195832623659,47.24349849211665,,,,,,,,,,,,0
2020-10-15,236.03,241.355,231.46,241,239.7645,259.3280206187432,220.2009793812568,48.997646442284335,,0,0,,,,,,,,-0.17190315431930836,0.5152973021443907,,0,46.40435872202569,,,,,,,,,-0.3103309241155443,46.40435872202569,,,,,,,,,,,,0
2020-10-16,242,245.99,241.5901,242.52,239.89050000000003,259.4908902767243,220.29010972327575,48.47641920968071,,0,0,,,,,,,,-0.17986721930215444,1.0961251070801037,,0,47.109765332942004,,,,,,,,,-0.2270378078842432,47.109765332942004,,,,,,,,,,,,0
2020-10-19,245,249.86,243,246.78,240.78699999999998,259.92008558492404,221.65391441507592,48.966930712409116,48.81366545479138,0,0,,,,,,,,1.2908654339483627,2.488921744114103,,0,49.13053994157008,,,,,,,,,0.15338681807423926,49.13053994157008,,,,,,,,,,,,0
2020-10-20,247,252.5,243.3,251.77,241.6175,261.13950489191535,222.09549510808466,52.41372076493408,49.95235689567463,0,0,,,,,,,,3.0568722319097352,4.201889349902221,,0,51.46955123910441,,,,,,,,,0.5305528909850504,51.46955123910441,,,,,,,,,,,,0
