time,open,high,low,close,Basis,Upper,Lower,温度计,Plot,Shapes,Shapes,Plot,Plot,Plot,Plot,Plot,Plot,ADX,Plot,Plot,Plot,Plot,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label,Histogram,MACD,Signal line,Trend Strength Index,RSI,Regular Bullish,Regular Bullish Label,Hidden Bullish,Hidden Bullish Label,Regular Bearish,Regular Bearish Label,Hidden Bearish,Hidden Bearish Label,Distance from MA,Upper StdDev Band,Lower StdDev Band,Zero Line
2021-04-14,381,429.54,310,328.28,,,,,,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0
2021-04-15,348.9,349.2,317.2701,322.75,,,,,,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0
2021-04-16,327.5,345.99,321.03,342,,,,,,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0
2021-04-19,337.26,341.01,326.79,333,,,,,,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0
2021-04-20,333.425,334.83,312.0201,320.82,,,,,,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0
2021-04-21,312.52,327.47,302.1,311.92,,,,,,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0
2021-04-22,305.7595,313.5,287.2033,293.45,,,,,,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0
2021-04-23,282.75,303,282.07,291.6,,,,,,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0
2021-04-26,304.29,306.1,296.9,304.54,,,,,,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0
2021-04-27,306.7,306.7,299.5,302,,,,,,0,0,,,,,,,,-4.137939791008016,,,0,,,,,,,,,,,,,,,,,,,,,,,0
2021-04-28,301.01,302.8999,298.05,298.05,,,,,,0,0,,,,,,,,-4.475134048901818,,,0,,,,,,,,,,,,,,,,,,,,,,,0
2021-04-29,298.4494,300,292.1,294.77,,,,,,0,0,,,,,,,,-4.671506880326004,,,0,,,,,,,,,,,,,,,,,,,,,,,0
2021-04-30,293,302.7399,291,297.64,,,,,,0,0,,,,,,,,-2.3423529836373302,,,0,,,,,,,,,,,,,,,,,,,,,,,0
2021-05-03,304,305.03,293.94,294.21,,,,,,0,0,,,,,,,,-2.2233300099700926,,,0,,,,,,,,,,-0.8266403463005187,,,,,,,,,,,,,0
2021-05-04,292.0622,292.19,275.61,280.66,,,,,,0,0,,,,,,,,-5.464760647256162,,,0,29.777475794122665,,,,,,,,,-0.8426556099975836,29.777475794122665,,,,,29.777475794122665,,29.777475794122665,,,,,0
2021-05-05,284.9521,289.15,269,273,,,,,,0,0,,,,,,,,-6.823394495412849,,,0,27.827775267727404,,,,,,,,,-0.8706471873630142,27.827775267727404,,,,,,,,,,,,0
2021-05-06,271.15,272.14,250.51,256.76,,,,,,0,0,,,,,,,,-11.254895048095037,,,0,24.208730299462076,,,,,,,,,-0.8700305577460103,24.208730299462076,24.208730299462076,,24.208730299462076,,,,,,,,,0
