time,open,high,low,close,Basis,Upper,Lower,温度计,Plot,Shapes,Shapes,Plot,Plot,Plot,Plot,Plot,Plot,ADX,Plot,Plot,Plot,Plot,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label,Histogram,MACD,Signal line,Trend Strength Index,RSI,Regular Bullish,Regular Bullish Label,Hidden Bullish,Hidden Bullish Label,Regular Bearish,Regular Bearish Label,Hidden Bearish,Hidden Bearish Label,Distance from MA,Upper StdDev Band,Lower StdDev Band,Zero Line
2020-12-10,146,165,141.25,144.71,,,,,,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0
2020-12-11,146.55,151.5,135.1,139.25,,,,,,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0
2020-12-14,135,135.3,125.1601,130,,,,,,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0
2020-12-15,126.69,127.6,121.5,124.8,,,,,,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0
2020-12-16,125.83,142,124.91,137.99,,,,,,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0
2020-12-17,143,152.4499,142.67,147.05,,,,,,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0
2020-12-18,150.4497,159,150.3,157.3,,,,,,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0
2020-12-21,155.31,172,145.11,163.02,,,,,,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0
2020-12-22,170,174.97,161.05,163.19,,,,,,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0
2020-12-23,162.8137,168.25,155.5,158.01,,,,,,0,0,,,,,,,,7.833101302104661,,,0,,,,,,,,,,,,,,,,,,,,,,,0
2020-12-24,159.16,162.79,154.1124,154.84,,,,,,0,0,,,,,,,,4.9442542952997215,,,0,,,,,,,,,,,,,,,,,,,,,,,0
2020-12-28,158.6,163.64,147.52,149,,,,,,0,0,,,,,,,,0.3231887961217206,,,0,,,,,,,,,,,,,,,,,,,,,,,0
2020-12-29,150,151.6511,143.12,150,,,,,,0,0,,,,,,,,-0.34546904065905215,,,0,,,,,,,,,,,,,,,,,,,,,,,0
2020-12-30,151.34,152.813,145.6,148.43,,,,,,0,0,,,,,,,,-2.9126848635884994,,,0,,,,,,,,,,0.5572904723959119,,,,,,,,,,,,,0
2020-12-31,146.9,147.89,144.51,146.8,,,,,,0,0,,,,,,,,-4.529018495876802,,,0,51.362628765158426,,,,,,,,,0.5139752982306462,51.362628765158426,,,,,,,,,,,,0
2021-01-04,150.99,151.005,137,139.15,,,,,,0,0,,,,,,,,-9.036829788068545,,,0,46.380211399639514,,,,,,,,,0.3215441581841752,46.380211399639514,46.380211399639514,,46.380211399639514,,,,,,,,,0
